,app,content,translation,score,at,appVersion,labelScoreBase
0,satusehat,Lelet....,Find ....,1,2021-10-14 06:05:05,3.4.0,Negative
3,satusehat,Saya sudah vaksin kedua tapi sertifikat vaksin saya tidak keluar. Saya cek di paspor digital juga tidak ada,I have a second vaccine but my vaccine certificate does not come out. I checked in a digital passport too,2,2021-10-14 06:02:24,,Negative
11,satusehat,Tidak bisa cek sertivikat,Can't check certificates,1,2021-10-14 05:56:10,3.4.6,Negative
16,satusehat,Tidak sinkron dengan data Real,Not synchronous with real data,1,2021-10-14 05:51:15,3.4.5,Negative
18,satusehat,"Ulasan sebelumnya dihapus, ga ada solusi dr masalah yg sy alami. Mau melengkapi akun saja ga bisa utk masukkan data nik n tgl lahir. Pdhl udh vaksin 2x n udh sertifikat ada. Ga bs scan barcode kl ada keperluan urusan2 di kantor, krn data blm lengkap. Udh dicoba lengkapi puluhan kali, bahkan smpe uninstal aplikasi n pasang lagi, tetep saja ga bisa masukkan lengkapi akun utk isi NIK n tgl lahir. MENYUSAHKAN. Payah","Previous reviews were deleted, there was no solution from the problem that I experienced. Even if you want to complete the account, you can't enter the NIK data on the date of birth. Pdhl already vaccine 2x n already there is a certificate. Ga can scan barcode if there are needs for affairs in the office, because the data is not complete. I've tried to complete dozens of times, even just uninstall the application and installed again, but still can't enter the account to fill the NIK n on the date of birth. Troublesome. Bad",1,2021-10-14 05:48:13,3.4.6,Negative
22,satusehat,"Aplikasi nya bagus, tetapi untuk pemilihan tanggal lahir tidak bisa di ketik custom","The application is good, but for the selection of date of birth, it cannot be typed custom",2,2021-10-14 05:47:12,3.4.6,Negative
23,satusehat,"Aplikasi gak jelas arahanya,manusia koq suruh berlindung dgn aplikasi,sunguh yg buat tdk berkemanusian","The application is not clear, humans are told to take shelter with applications, those who make no",1,2021-10-14 05:45:56,3.4.6,Negative
24,satusehat,"Kenapa ketika edit data nik dan tanggal.lahir sudah beberapa kali dicoba gagal terus mana harus di klik pilhan bulan dan tahun 30 tahun kebelakang lg duh kenapa ga pake cara input manual tgl lahirnya atau ada searching jd ga lama input tgl lahir mana gagal terus pas udah ketemu tgl lahir dan juga kenapa mau download sertifikat di sino ga muncul kalo di browser udah bisa tdnya mau download sertifikat kedua tapi ga jadi"" karna terkendala edit data pribadi gagal terus","Why when editing the NIK and date data. Born has been tried several times to fail to continue to fail to click on the moon and 30 years old, why don't you use the manual input method for the birth or there is no search so it will not be input on the date of birth where it fails when you have met the date of birth and also why you want to download the certificate in Sino,",1,2021-10-14 05:44:47,3.4.6,Negative
25,satusehat,Mau download aplikasinya susah tdk bs trs sampe saat ini,Want to download the application is difficult or not until now,1,2021-10-14 05:43:44,,Negative
27,satusehat,Pas di tanggal lahir gagal trus,Right on the date of birth failed then,2,2021-10-14 05:42:41,,Negative
20,satusehat,Ok,Ok,3,2021-10-14 05:47:39,3.4.6,Neutral
59,satusehat,"Sudah buka paspor digital tetep aja gk muncul. Begitu dbuka, disuruh isi kelengkapan data berulang kali. Tetep aja gk muncul. Pdahal keterangnya sudah vaksin 2. Aplikasi gk sinkron. Disuruh email juga tidak ada Respon.","Already open a digital passport but it doesn't appear. Once the next, told to fill in the completeness of the data repeatedly. Still, it doesn't appear. Even though the obstacle is vaccine 2. Synchronous GK Application. Told to email also there is no response.",3,2021-10-14 05:14:40,3.4.6,Neutral
76,satusehat,"kenapa setelah saya instal - data - dan izinkan akses lokasi, tetiba tidak bisa lagi masuk ke dalam aplikasi??","Why After I Install - Data - And Allow Access Location, But I Cannot Enter the Application Again ??",3,2021-10-14 05:03:26,3.4.6,Neutral
77,satusehat,. Ini niat input data ga sih? Kita uda di vaksin tapi pas log in ga bisa🙏😌😌,. Is this the intention of input data or not? We have been vaccinated but when logged in it can't,3,2021-10-14 05:03:21,3.4.6,Neutral
95,satusehat,"Gimana sih saya sudah vaksin dua bulan yang lalu sertifikat masih belum keluar juga Pengaduan lewat email sudah saya coba tapi tidak ada tanggapan Lewat tlp sudah juga sama saja Terus saya harus mengadu sama siapa lagi,kecewa banget tau gitu ga usah vaksin sekalian","How do I have a vaccine two months ago the certificate hasn't come out yet, complaints via email I have tried, but there is no response through TLP, it's the same, and I have to complain about who else, really disappointed you don't need to vaccine all",3,2021-10-14 04:46:16,3.4.6,Neutral
109,satusehat,Kok sya gk muncul sertifikat'y cuma ada nama aku sma nik aku aja.gmana supaya bsa dapat sertifikat??,"How come I don't appear a certificate, there is only my name, I will be a high school, so that you can get a certificate ??",3,2021-10-14 04:35:20,3.4.6,Neutral
113,satusehat,Mantafff,Mantafff,3,2021-10-14 04:31:56,3.4.6,Neutral
146,satusehat,"Susah sekali untuk mengedit akun.sudah berkali kali edit akun selalu tdk bisa.saya salah memasukkan tanggal lahir saya.. Tolong di perbaiki,dan smpai sekarang susah mengubahnya. Mohon di perhatikan..","It's very difficult to edit your account. Already repeatedly editing the account always can't. I am wrong to enter my date of birth ... please fix it, and until now it's hard to change it. Please note..",3,2021-10-14 04:09:27,,Neutral
